feature,folds,count_min,missing_rate_max,mean_min,mean_max,std_mean,std_min,std_max,p50_min,p50_max,p95_min,p95_max,stage_ic_mean,stage_ic_min,stage_ic_max,stage_ic_std,stage_ic_positive_ratio_mean,mean_range,std_range,p50_range,p95_range,stage_ic_range,relative_mean_range,relative_p50_range,drift_score,importance_rank,gain_importance,gain_importance_pct,split_importance,split_importance_pct,stability_label,fold_1_stage_ic,fold_2_stage_ic,fold_3_stage_ic
volume_ratio_10d,3,6000,0.0,-0.04692079654372543,0.12292449651626317,0.39917321715912407,0.3872192693510573,0.4226341959097876,-0.12662781609089385,0.0384149411396458,0.6618401038417431,0.922956014316312,-0.007815291712918894,-0.03428728788821648,0.01902006440920129,0.021764152101999737,0.5166666666666667,0.1698452930599886,0.0354149265587303,0.16504275723053966,0.26111591047456895,0.05330735229741777,0.4254927078232731,0.4134615002597595,1.1652969809273306,12,439.37939743697643,0.041689207400698064,554.0,0.04616666666666667,watch,-0.008178651659741491,-0.03428728788821648,0.01902006440920129
rel_hs300_mean_ret_5d,3,6000,0.0,4.292862361883939e-18,1.080617077301819e-17,0.04800070604971506,0.038377561558239556,0.05315876664057203,-0.0094001442637299,-0.00374936219734685,0.06613493986854181,0.09120475715926568,-0.00889594713357701,-0.046210448724588286,0.04634537498326235,0.039855349253549555,0.5333333333333333,6.513308411134251e-18,0.014781205082332473,0.00565078206638305,0.02506981729072387,0.09255582370785063,1.356919292864698e-16,0.1177228947510215,0.9844196844540173,2,840.8347549214959,0.07978010505753265,732.0,0.061,watch,-0.046210448724588286,0.04634537498326235,-0.02682276765940509
amount_ratio_5d,3,6000,0.0,-0.009682538604416478,0.05663506921512296,0.31725146476120397,0.3126928797095413,0.3219884526721124,-0.06710911256250646,-0.00285382706678125,0.5787997554112675,0.667193966542303,-0.00977764142622816,-0.029794317249382907,0.015533124549799885,0.018879703174302265,0.5,0.06631760781953944,0.009295572962571108,0.0642552854957252,0.08839421113103552,0.04532744179918279,0.20903798779699204,0.20253739582853558,0.7635811037030877,16,320.5819165110588,0.03041746172966569,421.0,0.035083333333333334,watch,-0.015071731579101461,-0.029794317249382907,0.015533124549799885
volume_ratio_5d,3,6000,0.0,-0.01053503166272582,0.05176827292617615,0.30768312495471245,0.3036515730465759,0.3100173061536312,-0.065677374898549,-0.00428090385913955,0.561660775469319,0.63243596532747,-0.011089410472572414,-0.031781857006628667,0.010965487254915824,0.017478101828566576,0.45,0.062303304588901966,0.006365733107055294,0.06139647103940944,0.07077518985815101,0.04274734426154449,0.20249178305722756,0.19954448606255798,0.7297374687039514,18,285.7126564383507,0.027108995689701855,363.0,0.03025,stable,-0.012451861666004403,-0.031781857006628667,0.010965487254915824
turnover_spike_5d,3,6000,0.0,0.9889955635086145,1.0507108147806665,0.30772662237213705,0.3039532446878322,0.30967517241151327,0.9338944624710255,0.9950927112753731,1.5616502124466805,1.6322258850443556,-0.010537110561941808,-0.03123021710501183,0.011506371194343838,0.017473248692015008,0.45,0.06171525127205202,0.005721927723681075,0.061198248804347655,0.07057567259767517,0.04273658829935567,0.20055220050873132,0.198872129854729,0.7273541484296525,17,303.94648161530495,0.028839057963773663,348.0,0.029,stable,-0.011887485775157431,-0.03123021710501183,0.011506371194343838
ret_3d,3,6000,0.0,0.0017873062974673492,0.007186130163696865,0.03849351451312619,0.0307500287862617,0.04290833040187575,-0.0016630637766842501,0.0008515077741317,0.05682214035384012,0.07913960944194974,0.006854605025246544,-0.02337467206783982,0.023644103296469172,0.021419026592810735,0.5333333333333333,0.005398823866229516,0.01215830161561405,0.0025145715508159503,0.022317469088109623,0.04701877536430899,0.1402528175037974,0.06532455096801212,0.6431028466308933,6,679.7971889153123,0.06450053453670875,762.0,0.0635,stable,-0.02337467206783982,0.023644103296469172,0.02029438384711028
intraday_return,3,6000,0.0,0.0007155953093023652,0.002191981426664755,0.02032911592202902,0.017067946732535158,0.02245381817535779,-0.0014302356443309,0.0,0.029268738981991806,0.03999708834572058,-0.017608623800784397,-0.035621747828023576,0.0019439517566312223,0.015374716898888585,0.43333333333333335,0.0014763861173623899,0.005385871442822633,0.0014302356443309,0.010728349363728771,0.0375656995846548,0.07262421656467241,0.07035405030627599,0.4834582375643584,14,422.698695063591,0.04010650856481755,543.0,0.04525,stable,-0.035621747828023576,0.0019439517566312223,-0.019148075330960843
ret_1d,3,6000,0.0,0.0006368971461802167,0.002380350042442571,0.022728864699830143,0.01865252908203786,0.02654499706026401,-0.00130330935121455,0.0,0.031584699453551794,0.04421243629413905,-0.008367208022811367,-0.012263039726168077,-0.0016391652104114293,0.004777219711385608,0.48333333333333334,0.0017434528962623542,0.00789246797822615,0.00130330935121455,0.012627736840587253,0.010623874515756648,0.07670655438406815,0.05734159485611916,0.21161609696969422,11,536.2483703568578,0.05088033180549858,648.0,0.054,stable,-0.011199419131854594,-0.0016391652104114293,-0.012263039726168077
amount_change_1d,3,6000,0.0,0.07864982580618285,0.10451660369184143,0.6387251809172411,0.4972836490189032,0.900846278030787,-0.043778617204283346,-0.0026441368564575,0.8804277210926126,0.9710453225956988,-0.010767666026916563,-0.017897830355418025,-0.0070276411502883315,0.005043810561218573,0.48333333333333334,0.02586677788565858,0.4035626290118838,0.041134480347825846,0.09061760150308618,0.010870189205129693,0.040497507626788894,0.06440090601828206,0.18139985268722686,13,428.8465345352888,0.04068982802926416,592.0,0.04933333333333333,stable,-0.0070276411502883315,-0.017897830355418025,-0.007377526575043332
volume_change_1d,3,6000,0.0,0.07470710072494821,0.0987594988023285,0.6406651440728006,0.4816922337114823,0.9396868072376187,-0.039637953182423594,-0.00336321342041955,0.8471770342306866,0.9334913165950778,-0.011123144219122146,-0.017172523143064673,-0.007051531964071313,0.004362131463611917,0.48333333333333334,0.024052398077380285,0.4579945735261364,0.036274739762004043,0.0863142823643912,0.010120991178993361,0.03754285417252168,0.05662043596026417,0.16706298394258737,15,373.7365183979273,0.03546087804661089,471.0,0.03925,stable,-0.007051531964071313,-0.017172523143064673,-0.009145377550230451
